"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",18288.2230066785,2.84272348087795,0.0776937285696066,36.5888409941753,4.30384738619747e-293,8.30728622483836e-289
"2",5068.49623868779,2.05616864954839,0.0576567473069204,35.6622380829588,1.52253214588202e-278,1.46939577399074e-274
"3",1701.59222883931,2.19104914209789,0.062713662153394,34.9373496438258,2.01547394528261e-267,1.29675593639483e-263
"4",1969.83261116023,2.43180734514254,0.0707790085126418,34.3577480985509,1.07903005147138e-258,5.20685951337513e-255
"5",1308.31787160389,2.63379683769868,0.0783384391928478,33.620746913466,8.34760044885391e-248,3.22250767727556e-244
"6",1927.85978590513,2.28951922485626,0.0711723770272467,32.1686491372878,4.84561766763547e-227,1.55883520367833e-223
"7",3979.13984679362,2.07018456239724,0.0660104710314617,31.3614572059417,6.79030506854141e-216,1.87237812047123e-212
"8",2541.0710879878,1.83516458213452,0.0598403704366633,30.6676674750353,1.53657245216234e-206,3.70736518395468e-203
"9",3081.3395899973,1.40965751275662,0.0492327816264935,28.6324978233211,2.64799074290412e-180,5.67905747994837e-177
"10",244.24106932515,1.63929090197123,0.0577534186440041,28.3843093700812,3.15878360115818e-177,6.09708410695552e-174
"11",2052.86101443755,1.47961722381564,0.0523700285526292,28.253129981182,1.30274027483187e-175,2.28595388952771e-172
"12",2377.93733989912,1.50260186035445,0.0533050513394161,28.1887330111876,8.03726315372176e-175,1.29279377827614e-171
"13",3369.1953824419,1.28586961414281,0.0495910274076983,25.9294812259364,3.09857286061906e-148,4.60066564274378e-145
"14",197.333861265702,2.32487764641005,0.095270688739913,24.4028638520387,1.59456500181826e-131,2.19844954750686e-128
"15",305.376437040683,1.28176715992548,0.0540937929554464,23.6952724128846,4.03394205721674e-124,5.19087663922649e-121
"16",1583.18417364363,1.17369119677478,0.0517820506260258,22.6659852706737,9.70520798877608e-114,1.17081202874597e-110
"17",445.558887741843,0.95778189519478,0.0426424792203127,22.4607460144705,1.00486836378056e-111,1.1409393622172e-108
"18",16.5758559080752,2.96877735588239,0.133611823287133,22.2194210276021,2.22925243953101e-109,2.39050169932375e-106
"19",1072.91695137129,0.943152319505274,0.0434376517331906,21.7127833083254,1.5535888407118e-104,1.57828272649575e-101
"20",644.662942425873,1.71235611439463,0.078973626822258,21.6826323330515,2.99264747579685e-104,2.88820407889154e-101
"21",2412.14448564857,0.89737669532689,0.0423235614652773,21.2027689603368,9.00399345313625e-100,8.27595626821123e-97
"22",26279.0389834493,1.32158031823597,0.064237725431832,20.5732738721953,4.76390070590352e-94,4.17967324660681e-91
"23",2569.37921910154,1.04792687273871,0.0536656285959797,19.5269653995484,6.47760425962652e-85,5.4361181486657e-82
"24",3571.55014553499,0.739198648606361,0.0382387563328543,19.3311372935853,2.93868259234731e-83,2.36343547489532e-80
"25",9252.71731977503,0.98518707305082,0.0516259712405397,19.083167819944,3.4848328739976e-81,2.69056976535607e-78
"26",1492.50518410693,0.752609540388223,0.0418342171697127,17.9902862131982,2.32155710371866e-72,1.7234882775376e-69
"27",164.534297534281,3.32053127835423,0.189056096377529,17.563735536586,4.66984078646758e-69,3.33841729112583e-66
"28",83.1157216145027,1.2934736099595,0.0737020715949291,17.5500305753752,5.94480065649562e-69,4.09809079541709e-66
"29",646.713569395312,0.656162957597662,0.0381576489663,17.1961055089419,2.83989165320795e-66,1.89019271345585e-63
"30",1292.31560311603,0.96530446764439,0.057276526859987,16.8534043623854,9.90453189669121e-64,6.37257582233113e-61
"31",3471.90833103359,0.665504874202971,0.0402581640149303,16.5309295763254,2.19728689764642e-61,1.36813005478617e-58
"32",3529.76717492625,1.26317256714942,0.0772977009145055,16.3416576716369,4.98781914881088e-60,3.00859016282336e-57
"33",1175.07855866584,0.980461050346255,0.0613525961072641,15.9807589662888,1.74014230318502e-57,1.0178250526084e-54
"34",1159.64264348758,0.744330270061002,0.0474852067133808,15.6749927309732,2.2425066243472e-55,1.27308420185734e-52
"35",3450.17838910299,2.5018388130034,0.160731169644753,15.5653618307697,1.25160340972187e-54,6.90241400412901e-52
"36",107.842241492329,1.13499735958128,0.0730642985252869,15.5342264620315,2.03513082399825e-54,1.09116931013373e-51
"37",470.558057563512,1.45873885826542,0.0965179195109602,15.1136583305628,1.31624702519855e-51,6.86654056226551e-49
"38",4710.6317939211,0.766182172733547,0.0509292634224367,15.0440458244681,3.77740791149383e-51,1.91872440809616e-48
"39",1278.0361341466,0.574745556763902,0.0383062127362097,15.0039775720405,6.91482567790146e-51,3.42230680089369e-48
"40",1356.8588140595,0.56479903265507,0.0376970357670855,14.9825847354347,9.54322021288948e-51,4.56814402733757e-48
"41",3215.42138882429,0.629351480549455,0.0420086348408987,14.9814789967117,9.70334188793081e-51,4.56814402733757e-48
"42",985.521892907073,0.682778225981207,0.0455876319022985,14.9772689979709,1.03378518737419e-50,4.75098135397538e-48
"43",13268.7630551208,0.854252585597977,0.0578973260350575,14.7546120710431,2.87338819634153e-49,1.2898171852508e-46
"44",767.429766241419,0.817181612204595,0.0554604323458299,14.7344976885316,3.87064603232418e-49,1.69798203899821e-46
"45",1473.87481828941,0.671373202782114,0.045615658152832,14.718042662735,4.93745442433049e-49,2.11783878440949e-46
"46",1096.66841329954,0.727209525688844,0.0494154812659193,14.7162287416673,5.07165787812767e-49,2.12811174703523e-46
"47",594.112702932099,0.476558102543917,0.0325320378966162,14.64888563263,1.36943293072902e-48,5.62399881466628e-46
"48",259.93455487001,0.604881156415368,0.0414373514997497,14.5974859522338,2.91394148494937e-48,1.17176871963527e-45
